_id,CHR
1,1
2,10
3,2
4,8
5,6
6,3
7,3
8,10
9,1
10,10
11,6
12,2
13,7
15,3
16,10
17,3
18,3
19,5
20,1
21,6
24,9
25,3
26,6
27,1
28,6
30,3
31,1
32,6
35,12
36,1
38,3
39,9
40,2
42,8
43,1
44,11
45,4
46,4
47,4
49,8
50,8
51,11
54,4
56,4
57,8
58,6
59,7
60,4
61,8
62,6
63,11
64,3
66,3
67,1
68,9
69,2
70,2
71,3
72,10
73,11
74,3
75,9
76,12
77,9
78,9
79,9
80,3
81,3
82,11
83,2
84,5
85,12
86,11
87,11
88,7
89,1
90,7
91,4
92,2
93,8
94,Un
95,12
96,3
97,11
98,1
99,7
100,1
101,3
102,3
103,1
104,4
105,4
106,9
107,6
108,1
109,7
110,2
111,6
112,11
113,1
114,11
115,3
116,1
117,1
118,9
119,6
122,2
123,3
124,7
125,1
126,11
128,1
129,4
130,5
131,6
132,1
133,3
134,3
135,10
136,12
137,12
138,7
139,6
140,4
141,4
142,3
143,11
145,11
146,6
147,5
148,5
149,10
150,10
151,9
152,11
153,3
154,3
155,12
156,1
157,4
158,1
159,1
160,9
161,12
162,10
163,7
164,8
165,2
166,7
167,6
168,1
169,7
170,5
171,11
172,6
173,6
174,2
175,2
176,7
177,4
178,1
179,6
180,8
181,10
182,7
183,1
184,7
185,11
186,10
187,4
188,2
189,6
190,2
191,2
192,9
193,6
194,11
195,5
196,8
197,9
198,9
199,6
200,2
201,12
202,2
203,4
204,4
205,8
206,7
207,10
208,1
209,11
210,3
211,10
212,8
213,5
214,4
215,4
216,1
217,9
218,1
219,6
220,7
221,6
223,1
224,3
225,8
226,8
227,3
228,11
230,11
231,6
232,7
233,9
234,8
235,8
236,6
237,6
238,2
239,7
240,11
242,10
243,9
244,5
245,2
246,6
247,7
248,Un
249,4
250,12
251,6
252,10
253,1
254,12
255,6
256,6
257,6
258,9
259,5
260,11
261,5
262,3
263,1
264,9
265,7
266,12
267,6
268,12
269,5
270,8
271,6
272,11
273,6
274,3
275,5
278,1
279,1
281,3
282,2
283,2
284,10
285,2
286,3
287,7
288,12
289,7
290,3
291,1
292,9
293,10
294,3
295,5
296,4
297,1
298,3
299,2
300,Un
301,4
302,11
303,2
304,8
305,7
306,6
307,3
308,4
309,9
310,3
311,2
312,1
313,5
314,5
315,2
316,2
317,1
318,4
319,3
320,3
321,3
322,3
323,6
324,1
325,8
326,9
329,1
330,7
331,1
332,12
333,11
334,11
335,2
336,4
337,10
338,4
339,7
340,1
341,11
342,11
343,4
344,2
345,3
346,7
347,12
348,1
349,6
350,8
351,7
352,11
353,3
354,9
355,8
356,1
357,1
358,3
359,5
360,12
361,5
362,3
363,9
364,8
365,8
366,9
367,1
368,1
369,9
370,7
371,11
372,7
373,7
374,2
375,12
376,4
377,1
378,3
379,8
380,11
381,3
382,10
383,3
384,12
385,12
386,4
387,7
388,5
389,6
390,3
391,3
392,3
393,4
394,12
395,8
396,8
397,1
398,1
399,7
400,10
401,6
402,6
403,2
404,6
405,1
406,6
407,5
408,2
409,6
410,11
411,10
412,7
413,4
414,1
415,6
416,2
420,11
421,9
424,2
425,6
426,10
427,7
428,9
429,1
430,7
433,3
434,6
435,1
436,3
437,7
438,4
439,10
440,6
441,4
442,8
443,1
444,1
445,8
446,8
447,3
448,11
449,1
450,7
451,4
452,10
453,2
455,1
456,10
457,9
458,5
459,11
460,7
461,12
462,5
463,4
464,1
465,12
466,3
467,3
468,4
469,8
470,12
471,6
472,12
473,7
474,4
475,4
476,3
477,11
479,3
480,Un
481,5
482,6
483,10
484,1
486,10
487,2
488,6
489,8
490,12
491,11
492,2
493,4
494,1
495,2
496,2
497,10
498,2
499,2
500,4
501,11
502,4
503,4
504,1
505,12
506,1
507,4
509,2
510,11
511,2
512,12
514,12
515,1
516,6
517,7
518,12
519,5
520,1
521,10
522,10
523,5
524,4
525,6
526,1
527,8
528,6
529,5
530,11
531,9
532,10
533,2
534,3
536,4
537,5
538,8
540,4
541,8
542,4
543,Un
544,6
545,4
546,11
547,6
549,4
551,6
552,10
553,4
554,12
555,12
556,9
557,4
558,1
559,6
561,7
562,4
563,12
564,1
565,9
