yourlist:M201510162IPPEIITE1	Entry
543501	O48645
543502	O82119
543506	Q9ZWP2
543507	O80432
543508	Q9SXR9
543509	Q9SXS0
543512	Q9MAZ7
543514	Q76MS5
543515	K4B267
543517	Q944F3
543518	Q76DI3
543520	K4B9Y2
543521	K4CBI3
543524	K4BJ12
543524	O24018
543530	Q9XE48
543531	Q9XE49
543532	Q9XE50
543534	O22466
543535	O22478
543540	G9HPV4
543541	G9HPX1
543542	G9HPV6
543543	G9HPW4
543544	G9HPW5
543548	O65917
543549	G1JUH6
543549	O64961
543551	O81137
543552	O65004
543554	Q42883
543556	Q9ZP33
543557	Q9ZP32
543558	Q9ZP31
543560	O82473
543561	K4B0D7
543561	Q947T1
543562	P93211
543563	K4BSR4
543564	O81536
543565	K4BPR4
543565	Q947S8
543571	Q9XEG2
543572	K4CL22
543578	E5D5L1
543582	O82625
543584	Q9ZSP2
543586	Q9M7N6
543587	K4CKP2
543587	Q9ZPI8
543588	Q9XET8
543589	Q9XET9
543590	Q9FVN0
543593	Q9XEX8
543594	Q9XEX9
543596	Q9LDJ5
543597	Q9XFB2
543598	Q9XFB3
543599	Q9M7D3
543602	K4D5T9
543604	K4CRB0
543605	K4DCU5
543606	Q9XGY1
543607	Q9SEE4
543608	A2JGW9
543608	F4ZE23
543608	K4CWP2
543609	Q9ZP11
543610	A2JGX1
543611	E3UVW7
543611	Q9LLT0
543612	Q9LLS9
543613	Q9FVL6
543614	O49877
543615	Q9FR57
543617	A2I5C7
543618	Q9SPF7
543619	Q9FZ05
543620	K4BUD3
543621	O81143
543622	Q9SPA0
543623	K4APU2
543624	Q9FVH0
543625	Q9FVG9
543626	Q9FR51
543629	Q9SE20
543630	Q9LDP5
543631	Q9SE09
543633	Q9SDX9
543635	K4BU23
543637	K4CWS8
543638	K4C7S0
543638	Q9FR27
543640	Q9M624
543648	Q9FV54
543649	Q9FV32
543650	K4DAL9
543650	Q9FV25
543651	Q9FV24
543652	Q9FV23
543653	Q9M4R8
543657	Q9LKW0
543658	K4AT97
543659	C4NAS0
543660	Q9SPD5
543666	Q9AXR0
543667	Q9AXQ6
543668	Q9AXQ5
543669	Q9AXQ4
543670	Q9FEC9
543675	Q9FPM6
543676	Q94FW6
543678	G4XQK5
543678	Q9FPL1
543679	Q94FV4
543680	Q94FV2
543681	Q9AXH3
543682	Q947C3
543685	K4CZY1
543685	Q9AT48
543686	Q9AT47
543687	Q94KR9
543689	Q94KH6
543693	Q7Y0Z7
543696	C0KZ34
543697	Q94EX6
543698	Q8VWL8
543703	Q8W1R8
543705	Q5GA67
543707	Q8S4L5
543708	Q8S4L4
543709	Q8S459
543710	Q84ZX6
543713	Q8L4N2
543715	Q71F77
543718	Q8LKF6
543719	Q8H6B5
543720	O48616
543722	Q9SMD5
543723	Q9SMD4
543726	O82777
543727	O82006
543728	A0A060PVS3
543728	O82000
