_id,GO,EVIDENCE,ONTOLOGY
1,GO:0043565,IEA,MF
1,GO:0009958,IEA,BP
1,GO:0045892,IEA,BP
1,GO:0005515,IEA,MF
1,GO:0005886,IEA,CC
1,GO:0008289,IEA,MF
1,GO:0031965,IEA,CC
1,GO:0009506,IEA,CC
1,GO:0009651,IEA,BP
1,GO:0009414,IEA,BP
2,GO:0009611,IEA,BP
2,GO:0005987,IEA,BP
2,GO:0005773,IEA,CC
2,GO:0031219,IEA,MF
2,GO:0004575,IEA,MF
2,GO:0005618,IEA,CC
2,GO:0005982,IEA,BP
2,GO:0071836,IEA,BP
2,GO:0080167,IEA,BP
3,GO:0009506,IEA,CC
3,GO:0016706,IEA,MF
3,GO:0005886,IEA,CC
3,GO:0009651,IEA,BP
3,GO:0009693,IEA,BP
3,GO:0009620,IEA,BP
3,GO:0051365,IEA,BP
3,GO:0009815,IEA,MF
3,GO:0010030,IEA,BP
3,GO:0071281,IEA,BP
3,GO:0009727,IEA,BP
3,GO:0071732,IEA,BP
3,GO:0005507,IEA,MF
3,GO:0005829,IEA,CC
3,GO:0071398,IEA,BP
3,GO:0055114,IEA,BP
3,GO:0005618,IEA,CC
4,GO:0009644,IEA,BP
4,GO:0046686,IEA,BP
4,GO:0042542,IEA,BP
4,GO:0009408,IEA,BP
5,GO:0048367,IEA,BP
5,GO:0030292,IEA,MF
5,GO:0030308,IEA,BP
5,GO:0043025,IEA,CC
5,GO:0046686,IEA,BP
5,GO:0043065,IEA,BP
5,GO:0001891,IEA,CC
5,GO:0032436,IEA,BP
5,GO:0043547,IEA,BP
5,GO:0017148,IEA,BP
5,GO:0019903,IEA,MF
5,GO:2000543,IEA,BP
5,GO:0051302,IEA,BP
5,GO:0061099,IEA,BP
5,GO:0005080,IEA,MF
5,GO:0001934,IEA,BP
5,GO:0005730,IEA,CC
5,GO:0090003,IEA,BP
5,GO:0050765,IEA,BP
5,GO:2000114,IEA,BP
5,GO:0030335,IEA,BP
5,GO:0048364,IEA,BP
5,GO:0009845,IEA,BP
5,GO:0015935,IEA,CC
5,GO:0000166,IEA,MF
5,GO:0001525,IEA,BP
5,GO:0071215,IEA,BP
5,GO:0030178,IEA,BP
5,GO:0048471,IEA,CC
5,GO:2001244,IEA,BP
5,GO:0032464,IEA,BP
5,GO:0022626,IEA,CC
5,GO:0042169,IEA,MF
5,GO:0051726,IEA,BP
5,GO:0030496,IEA,CC
5,GO:0042254,IEA,BP
5,GO:0009507,IEA,CC
5,GO:0042995,IEA,CC
5,GO:0030971,IEA,MF
5,GO:0007205,IEA,BP
5,GO:0005834,IEA,CC
6,GO:0048471,IEA,CC
6,GO:0043547,IEA,BP
6,GO:0019903,IEA,MF
6,GO:0032436,IEA,BP
6,GO:0015935,IEA,CC
6,GO:0022626,IEA,CC
6,GO:0042254,IEA,BP
6,GO:0007205,IEA,BP
6,GO:0042995,IEA,CC
6,GO:0030308,IEA,BP
6,GO:0030971,IEA,MF
6,GO:0030496,IEA,CC
6,GO:0001934,IEA,BP
6,GO:0001891,IEA,CC
6,GO:0000166,IEA,MF
6,GO:0046686,IEA,BP
6,GO:0043025,IEA,CC
6,GO:0009507,IEA,CC
6,GO:0005834,IEA,CC
6,GO:0005730,IEA,CC
6,GO:0042169,IEA,MF
6,GO:2001244,IEA,BP
6,GO:0017148,IEA,BP
6,GO:0009845,IEA,BP
6,GO:0005080,IEA,MF
6,GO:0043065,IEA,BP
6,GO:0051726,IEA,BP
6,GO:0048364,IEA,BP
6,GO:0050765,IEA,BP
6,GO:0090003,IEA,BP
6,GO:0030292,IEA,MF
6,GO:0048367,IEA,BP
6,GO:0071215,IEA,BP
6,GO:0032464,IEA,BP
6,GO:0030335,IEA,BP
6,GO:0061099,IEA,BP
7,GO:0030126,IEA,CC
7,GO:0030125,IEA,CC
7,GO:0006891,IEA,BP
7,GO:0002088,IEA,BP
7,GO:0006890,IEA,BP
7,GO:0006886,IEA,BP
7,GO:0005886,IEA,CC
8,GO:0009044,IEA,MF
8,GO:0009505,IEA,CC
8,GO:0046556,IEA,MF
8,GO:0048046,IEA,CC
8,GO:0045493,IEA,BP
8,GO:0010214,IEA,BP
9,GO:0009505,IEA,CC
9,GO:0045493,IEA,BP
9,GO:0010214,IEA,BP
9,GO:0046556,IEA,MF
9,GO:0009044,IEA,MF
9,GO:0048046,IEA,CC
10,GO:0009505,IEA,CC
10,GO:0046556,IEA,MF
10,GO:0048046,IEA,CC
10,GO:0009044,IEA,MF
10,GO:0005773,IEA,CC
10,GO:0045493,IEA,BP
10,GO:0046373,IEA,BP
11,GO:0010182,IEA,BP
11,GO:0003700,IEA,MF
11,GO:0003677,IEA,MF
11,GO:0009873,IEA,BP
11,GO:0005515,IEA,MF
11,GO:0071281,IEA,BP
11,GO:0006355,IEA,BP
11,GO:0042742,IEA,BP
11,GO:0005634,IEA,CC
12,GO:0005515,IEA,MF
12,GO:0009723,IEA,BP
12,GO:0005737,IEA,CC
12,GO:0009934,IEA,BP
12,GO:0009691,IEA,BP
12,GO:0010073,IEA,BP
12,GO:0001708,IEA,BP
12,GO:0006355,IEA,BP
12,GO:0010051,IEA,BP
12,GO:0009736,IEA,BP
12,GO:0005634,IEA,CC
12,GO:0010094,IEA,BP
12,GO:0003700,IEA,MF
12,GO:0019827,IEA,BP
12,GO:0043565,IEA,MF
13,GO:0005829,IEA,CC
13,GO:0010089,IEA,BP
13,GO:0071345,IEA,BP
13,GO:0009727,IEA,BP
13,GO:0009416,IEA,BP
13,GO:0005634,IEA,CC
13,GO:0045892,IEA,BP
13,GO:0043565,IEA,MF
13,GO:2000652,IEA,BP
13,GO:0071369,IEA,BP
13,GO:0005515,IEA,MF
13,GO:0009722,IEA,BP
13,GO:0003700,IEA,MF
14,GO:0005515,IEA,MF
14,GO:0006952,IEA,BP
15,GO:0055114,IEA,BP
15,GO:0016706,IEA,MF
16,GO:0048786,IEA,CC
16,GO:0040011,IEA,BP
16,GO:0040010,IEA,BP
16,GO:0002119,IEA,BP
16,GO:0016021,IEA,CC
16,GO:0006898,IEA,BP
16,GO:0005245,IEA,MF
16,GO:0009792,IEA,BP
16,GO:0008021,IEA,CC
16,GO:0000220,IEA,CC
16,GO:0046961,IEA,MF
16,GO:0005886,IEA,CC
16,GO:0018996,IEA,BP
16,GO:0043068,IEA,BP
16,GO:0015991,IEA,BP
16,GO:0040035,IEA,BP
17,GO:0005886,IEA,CC
17,GO:0015193,IEA,MF
17,GO:0015824,IEA,BP
18,GO:0005886,IEA,CC
18,GO:0015824,IEA,BP
18,GO:0015193,IEA,MF
19,GO:0005886,IEA,CC
19,GO:0015193,IEA,MF
19,GO:0015824,IEA,BP
20,GO:0010026,IEA,BP
20,GO:0035098,IEA,CC
20,GO:0009909,IEA,BP
20,GO:0016581,IEA,CC
20,GO:0042826,IEA,MF
20,GO:0034080,IEA,BP
20,GO:0008094,IEA,MF
20,GO:0045787,IEA,BP
20,GO:0031507,IEA,BP
20,GO:0000278,IEA,BP
20,GO:0006349,IEA,BP
20,GO:0080008,IEA,CC
20,GO:0009793,IEA,BP
20,GO:0048366,IEA,BP
20,GO:0016589,IEA,CC
20,GO:0008285,IEA,BP
20,GO:0009555,IEA,BP
20,GO:0033186,IEA,CC
20,GO:0009507,IEA,CC
20,GO:0010214,IEA,BP
21,GO:0080034,IEA,BP
21,GO:0009506,IEA,CC
21,GO:0005618,IEA,CC
21,GO:0006952,IEA,BP
21,GO:0030581,IEA,BP
21,GO:0005515,IEA,MF
21,GO:0005635,IEA,CC
21,GO:0006606,IEA,BP
21,GO:0005730,IEA,CC
21,GO:0005829,IEA,CC
21,GO:0008565,IEA,MF
22,GO:0042802,IEA,MF
22,GO:0009733,IEA,BP
22,GO:0006417,IEA,BP
22,GO:0006355,IEA,BP
22,GO:0046983,IEA,MF
22,GO:0003700,IEA,MF
22,GO:0003677,IEA,MF
22,GO:0005634,IEA,CC
23,GO:0009733,IEA,BP
23,GO:0005634,IEA,CC
23,GO:0006355,IEA,BP
23,GO:0042802,IEA,MF
23,GO:0046983,IEA,MF
24,GO:0046983,IEA,MF
24,GO:0006417,IEA,BP
24,GO:0006355,IEA,BP
24,GO:0003700,IEA,MF
24,GO:0042802,IEA,MF
24,GO:0003677,IEA,MF
24,GO:0009733,IEA,BP
24,GO:0005634,IEA,CC
25,GO:0010102,IEA,BP
25,GO:0005737,IEA,CC
25,GO:0045892,IEA,BP
25,GO:0046983,IEA,MF
25,GO:0009734,IEA,BP
25,GO:0005634,IEA,CC
25,GO:0009733,IEA,BP
26,GO:0009414,IEA,BP
26,GO:0009611,IEA,BP
26,GO:0009753,IEA,BP
26,GO:0042802,IEA,MF
26,GO:0005634,IEA,CC
26,GO:0046983,IEA,MF
26,GO:0009630,IEA,BP
26,GO:0010102,IEA,BP
26,GO:0045892,IEA,BP
26,GO:0009734,IEA,BP
27,GO:0009611,IEA,BP
27,GO:0042802,IEA,MF
27,GO:0046983,IEA,MF
27,GO:0009630,IEA,BP
27,GO:0045892,IEA,BP
27,GO:0010102,IEA,BP
27,GO:0009734,IEA,BP
27,GO:0005634,IEA,CC
27,GO:0009753,IEA,BP
27,GO:0009414,IEA,BP
28,GO:0009753,IEA,BP
28,GO:0045892,IEA,BP
28,GO:0010102,IEA,BP
28,GO:0009611,IEA,BP
28,GO:0042802,IEA,MF
28,GO:0009734,IEA,BP
28,GO:0009414,IEA,BP
28,GO:0046983,IEA,MF
28,GO:0009630,IEA,BP
28,GO:0005634,IEA,CC
28,GO:0009733,IEA,BP
29,GO:0009704,IEA,BP
29,GO:0009733,IEA,BP
29,GO:0080086,IEA,BP
29,GO:0046983,IEA,MF
29,GO:0005634,IEA,CC
29,GO:0006355,IEA,BP
29,GO:0009606,IEA,BP
30,GO:0016021,IEA,CC
30,GO:0009737,IEA,BP
30,GO:0016036,IEA,BP
30,GO:0005634,IEA,CC
30,GO:0005351,IEA,MF
30,GO:0005886,IEA,CC
30,GO:0055085,IEA,BP
30,GO:0005315,IEA,MF
30,GO:0009506,IEA,CC
30,GO:0006817,IEA,BP
30,GO:0005773,IEA,CC
31,GO:0016740,IEA,MF
31,GO:0006520,IEA,BP
31,GO:0009570,IEA,CC
31,GO:0005829,IEA,CC
31,GO:0055114,IEA,BP
31,GO:0003855,IEA,MF
31,GO:0019632,IEA,BP
31,GO:0050661,IEA,MF
31,GO:0009793,IEA,BP
31,GO:0004764,IEA,MF
32,GO:0051762,IEA,BP
32,GO:0034005,IEA,MF
32,GO:0080016,IEA,MF
32,GO:0016106,IEA,BP
32,GO:0000287,IEA,MF
32,GO:0080027,IEA,BP
32,GO:0045338,IEA,BP
32,GO:0080017,IEA,MF
33,GO:0045338,IEA,BP
33,GO:0051762,IEA,BP
33,GO:0034005,IEA,MF
33,GO:0080027,IEA,BP
33,GO:0080016,IEA,MF
33,GO:0016106,IEA,BP
33,GO:0080017,IEA,MF
33,GO:0000287,IEA,MF
34,GO:0043531,IEA,MF
34,GO:0006952,IEA,BP
35,GO:0004337,IEA,MF
35,GO:0005783,IEA,CC
35,GO:0016126,IEA,BP
35,GO:0005829,IEA,CC
35,GO:0004161,IEA,MF
35,GO:0045337,IEA,BP
36,GO:0030026,IEA,BP
36,GO:0001947,IEA,BP
36,GO:0005886,IEA,CC
36,GO:0008016,IEA,BP
36,GO:0030176,IEA,CC
36,GO:0010042,IEA,BP
36,GO:0006828,IEA,BP
36,GO:0046686,IEA,BP
36,GO:0005524,IEA,MF
36,GO:0005774,IEA,CC
36,GO:0046872,IEA,MF
36,GO:0005388,IEA,MF
36,GO:0006816,IEA,BP
36,GO:0008152,IEA,BP
37,GO:0003700,IEA,MF
37,GO:0046983,IEA,MF
37,GO:0006355,IEA,BP
37,GO:0003677,IEA,MF
37,GO:0005634,IEA,CC
38,GO:0009828,IEA,BP
38,GO:0009505,IEA,CC
38,GO:0009506,IEA,CC
38,GO:0009739,IEA,BP
38,GO:0009826,IEA,BP
38,GO:0009831,IEA,BP
38,GO:0005829,IEA,CC
38,GO:0010114,IEA,BP
38,GO:0005576,IEA,CC
38,GO:0006949,IEA,BP
39,GO:0010114,IEA,BP
39,GO:0009831,IEA,BP
39,GO:0009505,IEA,CC
39,GO:0005576,IEA,CC
39,GO:0006949,IEA,BP
39,GO:0005829,IEA,CC
39,GO:0009739,IEA,BP
