gene_stable_id	transcript_stable_id	protein_stable_id	xref	db_name	info_type	source_identity	xref_identity	linkage_type
Solyc01g005000.2	Solyc01g005000.2.1	Solyc01g005000.2.1	B1Q3F2	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005010.2	Solyc01g005010.2.1	Solyc01g005010.2.1	K4AS68	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005020.2	Solyc01g005020.2.1	Solyc01g005020.2.1	K4AS69	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005030.2	Solyc01g005030.2.1	Solyc01g005030.2.1	K4AS70	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005040.2	Solyc01g005040.2.1	Solyc01g005040.2.1	K4AS71	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005050.2	Solyc01g005050.2.1	Solyc01g005050.2.1	K4AS72	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005060.2	Solyc01g005060.2.1	Solyc01g005060.2.1	K4AS73	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005070.2	Solyc01g005070.2.1	Solyc01g005070.2.1	K4AS74	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005080.2	Solyc01g005080.2.1	Solyc01g005080.2.1	K4AS75	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005090.2	Solyc01g005090.2.1	Solyc01g005090.2.1	K4AS76	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005100.2	Solyc01g005100.2.1	Solyc01g005100.2.1	K4AS77	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005110.2	Solyc01g005110.2.1	Solyc01g005110.2.1	K4AS78	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005120.2	Solyc01g005120.2.1	Solyc01g005120.2.1	K4AS79	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005130.2	Solyc01g005130.2.1	Solyc01g005130.2.1	K4AS80	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005140.2	Solyc01g005140.2.1	Solyc01g005140.2.1	K4AS81	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005150.2	Solyc01g005150.2.1	Solyc01g005150.2.1	K4AS82	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005160.2	Solyc01g005160.2.1	Solyc01g005160.2.1	Q1WM08	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005170.1	Solyc01g005170.1.1	Solyc01g005170.1.1	K4AS84	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005180.1	Solyc01g005180.1.1	Solyc01g005180.1.1	K4AS85	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005190.1	Solyc01g005190.1.1	Solyc01g005190.1.1	K4AS86	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005200.1	Solyc01g005200.1.1	Solyc01g005200.1.1	K4AS87	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005210.2	Solyc01g005210.2.1	Solyc01g005210.2.1	K4AS88	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005220.2	Solyc01g005220.2.1	Solyc01g005220.2.1	K4AS89	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005230.2	Solyc01g005230.2.1	Solyc01g005230.2.1	K4AS90	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005240.2	Solyc01g005240.2.1	Solyc01g005240.2.1	K4AS91	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005250.2	Solyc01g005250.2.1	Solyc01g005250.2.1	K4AS92	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005260.2	Solyc01g005260.2.1	Solyc01g005260.2.1	K4AS93	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005270.2	Solyc01g005270.2.1	Solyc01g005270.2.1	K4AS94	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005280.2	Solyc01g005280.2.1	Solyc01g005280.2.1	K4AS95	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005290.2	Solyc01g005290.2.1	Solyc01g005290.2.1	K4AS96	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005300.2	Solyc01g005300.2.1	Solyc01g005300.2.1	K4AS97	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005310.2	Solyc01g005310.2.1	Solyc01g005310.2.1	K4AS98	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005320.2	Solyc01g005320.2.1	Solyc01g005320.2.1	K4AS99	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005330.2	Solyc01g005330.2.1	Solyc01g005330.2.1	K4ASA0	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005340.2	Solyc01g005340.2.1	Solyc01g005340.2.1	K4ASA1	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005350.2	Solyc01g005350.2.1	Solyc01g005350.2.1	K4ASA2	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005360.2	Solyc01g005360.2.1	Solyc01g005360.2.1	K4ASA3	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005370.2	Solyc01g005370.2.1	Solyc01g005370.2.1	K4ASA4	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005380.2	Solyc01g005380.2.1	Solyc01g005380.2.1	K4ASA5	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005390.2	Solyc01g005390.2.1	Solyc01g005390.2.1	K4ASA6	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005400.2	Solyc01g005400.2.1	Solyc01g005400.2.1	K4ASA7	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005410.2	Solyc01g005410.2.1	Solyc01g005410.2.1	K4ASA8	Uniprot/SPTREMBL	NONE	-	-	-
Solyc01g005420.2	Solyc01g005420.2.1	Solyc01g005420.2.1	K4ASA9	Uniprot/SPTREMBL	NONE	-	-	-
