_id,gene_name,symbol
1,CLB1,LOC543501
2,acid invertase,Wiv-1
3,1-aminocyclopropane-1-carboxylate oxidase,ACO4
4,mitochondrial small heat shock protein,MTSHP
5,ArcA1 protein,ArcA1
6,ArcA2 protein,ArcA2
7,nonclathrin coat protein zeta1-COP,copz1
8,beta-D-xylosidase 1,XYL1
9,beta-D-xylosidase 2,XYL2
10,alpha-L-arabinofuranosidase,ARF1
11,EIN3-like protein,EIL4
12,class I knotted-like homeodomain protein,T6
13,class II knotted-like homeodomain protein,T12
14,resistance complex protein I2C-3,I2C-3
15,E8 protein homolog,E8-6
16,vacuolar proton ATPase proteolipid subunit,LOC543525
17,proline transporter 1,ProT1
18,proline transporter 2,ProT2
19,proline transporter 3,ProT3
20,WD-40 repeat protein,MSI1
21,importin alpha,KAP
22,IAA1 protein,IAA1
23,IAA2 protein,IAA2
24,IAA3 protein,IAA3
25,IAA6 protein,IAA6
26,IAA7 protein,IAA7
27,IAA9 protein,IAA9
28,IAA10 protein,IAA10
29,IAA11 protein,IAA11
30,inorganic phosphate transporter,PT2
31,dehydroquinate dehydratase/shikimate:NADP oxidoreductase,LOC543548
32,epidermal germacrene C synthase,LOC543549
33,germacrene C synthase,LOC543550
34,root-knot nematode resistance protein,Mi-1.2
35,farnesyl pyrophosphate synthase,FPS1
36,Ca2+-ATPase,LCA1
37,APETALA3 homolog LeAP3,LOC543555
38,expansin A3,EXPA3
39,expansin A4,EXPA4
40,expansin,EXPA5
41,expansin,EXPA7
42,"endo-1,4-beta-glucanase",cel5
43,LSTK-1-like kinase,LOC543561
44,14-3-3 family protein,TFT6
45,annexin p35,AN35
46,annexin p34,AN34
47,14-3-3 family protein,LOC543565
48,succinate dehydrogenase,LOC543568
49,NADPH oxidase,RBOH1
50,cytosolic class II small heat shock protein HCT2,HSP17.4
51,ethylene-responsive small GTP-binding protein,ER43
52,ethylene-responsive heat shock protein cognate 70,ER21
53,ethylene-responsive catalase,ER60
54,ER66 protein,ER66
55,ethylene-responsive methionine synthase,ER69
56,ER6 protein,LOC543580
57,ER33 protein,LOC543581
58,expansin,EXP2
59,lateral suppressor protein,Ls
60,MFP1 attachment factor 1,MAF1
61,polygalacturonase,PGcat
62,ethylene receptor homolog,ETR4
63,ethylene receptor homolog,ETR5
64,ammonium transporter,AMT1-3
65,heat shock protein 90,HSP90
66,remorin 1,rem-1
67,remorin 2,rem-2
68,cryptochrome 2,LOC543596
69,iron-regulated transporter 1,LOC543597
70,iron-regulated transporter 2,LOC543598
71,polygalacturonase,XOPG1
72,NPR1-interactor protein 1,NIF1
73,Eli3 protein,Eli3
74,whitefly-induced gp91-phox,Wfi1
75,phantastica,LOC543604
76,"homogentisate 1,2-dioxygenase",HGO
77,small zinc finger-like protein,TIM10
78,pirin,LOC543607
79,beta-galactosidase,TBG2
80,beta-galactosidase,TBG3
81,beta-galactosidase,TBG7
82,TBG5 protein,TBG5
83,TBG6 protein,TBG6
84,sucrose transporter-like protein,SUT2
85,cysteine protease TDI-65,tdi-65
86,self-pruning interacting protein 1,sig1
87,JAB,csn5
88,cycloidea,lanceolate
89,bZIP DNA-binding protein,LOC543618
90,xyloglucan endotransglycosylase LeXET2,XET2
91,sucrose transporter,SUT4
92,1-aminocyclopropane-1-carboxylate synthase,ACS7B
93,meiotic serine proteinase,TMP
94,transaldolase,TAL
95,expansin,EXPA8
96,expansin,EXPA10
97,xyloglucan endotransglycosylase,XET4
98,PSTVd RNA-binding protein Virp1d,LOC543627
99,glutathione S-transferase/peroxidase,BI-GST/GPX
100,zeta-carotene desaturase,zds
101,FLORICAULA/LEAFY-like protein,FALSIFLORA
102,cystatin,LTC
103,cystatin,STC
104,phosphoenolpyruvate carboxylase kinase,LOC543633
105,ripening regulated protein DDTFR18,DDTFR18
106,xyloglucan endotransglycosylase,BR1
107,hexokinase,Hxk2
108,Aqp2 protein,Aqp2
109,fatty acid hydroperoxide lyase,HPL
110,peptide deformylase-like protein,PDF1B
111,chromoplast-specific lycopene beta-cyclase,LOC543649
112,aldehyde oxidase,AO1
113,aldehyde oxidase,AO2
114,aldehyde oxidase,AO3
115,eIF4E,LOC543653
116,uncharacterized LOC543657,LOC543657
117,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,ispE
118,verticillium wilt disease resistance protein,Ve1
119,plasma membrane H+-ATPase,LHA2
120,sesquiterpene synthase 1,SSTLE1
121,sesquiterpene synthase 2,SSTLE2
122,deoxyhypusine synthase,DHS
123,eukaryotic translation initiation factor 5A-1,eIF-5A1
124,eukaryotic translation initiation factor 5A-2,eIF-5A2
125,eukaryotic translation initiation factor 5A-3,eIF-5A3
126,plastid quinol oxidase,LOC543670
127,MAP kinase phosphatase,MKP1
128,divinyl ether synthase,DES
129,heme oxygenase 2,HO2
130,SNF1-related kinase complex anchoring protein SIP1,LOC543678
131,EIL1 protein,EIL1
132,EIL3 protein,EIL3
133,phosphoethanolamine N-methyltransferase,LOC543681
134,1-deoxy-D-xylulose-5-phosphate reductoisomerase,DXR
135,sulfate transporter 1,ST1
136,sulfate transporter 2,ST2
137,translation initiation factor IF1,infA
138,calcium-dependent protein kinase CDPK1,LOC543689
139,bell-like homeodomain protein 2,BL2
140,violaxanthin de-epoxidase,LOC543696
141,leucine-zipper transcription factor,NITF
142,beta-mannosidase enzyme,LOC543698
143,coiled-coil protein,FPP
144,ascorbate peroxidase,APX
145,blind,LOC543703
146,bHLH transcriptional regulator,fer
147,MADS-box transcription factor MADS-MC,MADS-MC
148,MADS-box transcription factor,MADS-RIN
149,uncharacterized LOC543709,LOC543709
